"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2470","CT-05 - Validar obrigatoriedade do campo Email","","Thu Apr 16 16:42:16 UTC 2026","passed","Thu Apr 16 16:42:19 UTC 2026","formularioSimples","Features","",""
"","2121","CT-07 - Validar erro de confirmação de senha divergente","","Thu Apr 16 16:42:21 UTC 2026","passed","Thu Apr 16 16:42:23 UTC 2026","formularioSimples","Features","",""
"","9601","CT-00 - Validação visualizar página inicial","","Thu Apr 16 16:41:54 UTC 2026","passed","Thu Apr 16 16:42:03 UTC 2026","elementosBasicos","Features","",""
"","2016","CT-06 - Interação com o interruptor (switch) ativado","","Thu Apr 16 16:42:13 UTC 2026","passed","Thu Apr 16 16:42:15 UTC 2026","elementosBasicos","Features","",""
"","3391","CT-02 - Tentativa de cadastro sem aceitar os termos","","Thu Apr 16 16:42:06 UTC 2026","passed","Thu Apr 16 16:42:09 UTC 2026","formularioSimples","Features","",""
"","3707","CT-03 - Limpar campos do formulário","","Thu Apr 16 16:42:09 UTC 2026","passed","Thu Apr 16 16:42:13 UTC 2026","formularioSimples","Features","",""
"","1819","CT-06 - Validar obrigatoriedade do campo Senha","","Thu Apr 16 16:42:19 UTC 2026","passed","Thu Apr 16 16:42:21 UTC 2026","formularioSimples","Features","",""
"","1688","CT-01 - Interação com o botão Clique aqui","","Thu Apr 16 16:42:03 UTC 2026","passed","Thu Apr 16 16:42:05 UTC 2026","elementosBasicos","Features","",""
"","2195","CT-04 - Interação com o dropdown customizado","","Thu Apr 16 16:42:09 UTC 2026","passed","Thu Apr 16 16:42:11 UTC 2026","elementosBasicos","Features","",""
"","1696","CT-05 - Interação com o slider de intervalo","","Thu Apr 16 16:42:11 UTC 2026","passed","Thu Apr 16 16:42:13 UTC 2026","elementosBasicos","Features","",""
"","3530","CT-04 - Validar obrigatoriedade do campo Nome","","Thu Apr 16 16:42:13 UTC 2026","passed","Thu Apr 16 16:42:16 UTC 2026","formularioSimples","Features","",""
"","2256","CT-02 - Interação com o botão Duplo Clique","","Thu Apr 16 16:42:05 UTC 2026","passed","Thu Apr 16 16:42:07 UTC 2026","elementosBasicos","Features","",""
"","2105","CT-07 - Interação com o interruptor (switch) desativado","","Thu Apr 16 16:42:15 UTC 2026","passed","Thu Apr 16 16:42:17 UTC 2026","elementosBasicos","Features","",""
"","2035","CT-03 - Interação com o campo de texto","","Thu Apr 16 16:42:07 UTC 2026","passed","Thu Apr 16 16:42:09 UTC 2026","elementosBasicos","Features","",""
"","12158","CT-01 - Cadastro realizado com sucesso","","Thu Apr 16 16:41:54 UTC 2026","passed","Thu Apr 16 16:42:06 UTC 2026","formularioSimples","Features","",""
